"time, data"
"time, data"
"time, data"
"time, data"
"time, data"
"time, data"
"time, data"
"time, data"
"time, data"
1674530197.290478,83.78112316131592
"time, data"
1674530224.6475916,80.16246557235718
1674530224.6651309,83.9896559715271
1674530224.682747,82.73028135299683
1674530224.700155,82.78343677520752
1674530224.7175274,80.63677549362183
1674530224.7350888,85.31445264816284
1674530224.8181567,1206.3173294067383
1674530224.8358023,84.37401056289673
1674530224.8536224,85.7356071472168
1674530224.9369774,1206.4481735229492
1674530225.0199106,1206.4931511878967
1674530225.1028411,1206.4154624938965
1674530225.1857789,1206.4890623092651
1674530225.2687,1206.3745737075806
1674530225.351629,1206.411373615265
1674530225.434558,1206.4686179161072
1674530225.5174906,1206.5054178237915
1674530225.6004255,1206.5422177314758
1674530225.6833627,1206.5544843673706
1674530225.7663057,1206.4440846443176
1674530225.849244,1206.4767956733704
1674530225.932179,1206.5054178237915
1674530226.0151122,1206.4645290374756
1674530226.0980444,1206.4890623092651
1674530226.1809757,1206.4318180084229
1674530226.2639015,1206.3623070716858
1674530226.3468359,1206.4563512802124
1674530226.4297678,1206.5585732460022
1674530226.4443164,33.63102674484253
1674530226.458891,32.96862840652466
1674530226.542045,1206.5217733383179
1674530226.6249795,1206.5626621246338
1674530226.7079115,1206.4318180084229
1674530226.7908385,1206.370484828949
1674530226.873764,1206.3950181007385
1674530226.9567025,1206.4727067947388
1674530226.971152,32.08134174346924
1674530227.0541282,1206.3745737075806
1674530227.068782,35.757243633270264
1674530227.083454,34.5919132232666
1674530227.1664662,1206.619906425476
1674530227.249401,1206.4481735229492
1674530227.3323298,1206.390929222107
1674530227.4152672,1206.480884552002
1674530227.4982126,1206.529951095581
1674530227.5811508,1206.460440158844
1674530227.664073,1206.2846183776855
1674530227.7470026,1206.350040435791
1674530227.8299584,1206.4031958580017
1674530227.9128864,1206.309151649475
1674530227.9958117,1206.2887072563171
1674530228.0787387,1206.3827514648438
1674530228.161667,1206.3336849212646
1674530228.2445955,1206.3541293144226
1674530228.3275187,1206.370484828949
1674530228.4104428,1206.480884552002
1674530228.4933558,1206.2232851982117
1674530228.5762749,1206.3173294067383
1674530228.6592047,1206.300973892212
1674530228.742134,1206.390929222107
1674530228.8250544,1206.2478184700012
1674530228.9079762,1206.3377737998962
1674530228.990896,1206.2682628631592
1674530229.0738258,1206.4767956733704
1674530229.156773,1206.2273740768433
1674530229.2397,1206.3991069793701
1674530229.322629,1206.3786625862122
1674530229.40557,1206.350040435791
1674530229.4884918,1206.309151649475
1674530229.5714278,1206.460440158844
1674530229.604412,349.8567223548889
1674530229.687379,1206.4481735229492
1674530229.770381,1206.460440158844
1674530229.8533156,1206.5135955810547
1674530229.9362519,1206.5340399742126
1674530230.0191865,1206.4318180084229
1674530230.1021276,1206.4727067947388
1674530230.185061,1206.4031958580017
1674530230.2679818,1206.3582181930542
1674530230.3509057,1206.3214182853699
1674530230.433831,1206.3459515571594
1674530230.5167599,1206.3582181930542
1674530230.5308905,26.565444469451904
1674530230.613891,1206.4072847366333
1674530230.6968136,1206.3868403434753
1674530230.7797446,1206.3418626785278
1674530230.793577,21.43799066543579
1674530230.8765676,1206.4154624938965
1674530230.8915107,40.56576490402222
1674530230.9150417,186.83313131332397
1674530230.929639,33.463382720947266
1674530230.9443603,33.87635946273804
1674530230.9591243,32.74374008178711
1674530230.9826505,188.15792798995972
1674530230.9978638,40.38994312286377
1674530231.0214598,188.17428350448608
1674530231.045056,188.59134912490845
1674530231.128202,1206.550395488739
1674530231.1425507,30.13094663619995
1674530231.1569543,28.474950790405273
1674530231.171624,30.6052565574646
1674530231.18597,29.758858680725098
1674530231.2002037,26.720821857452393
1674530231.2145731,25.359225273132324
1674530231.2286305,24.811315536499023
1674530231.242906,24.70909357070923
1674530231.256849,23.73594045639038
1674530231.2708435,21.93683385848999
1674530231.2846541,20.992302894592285
1674530231.2983632,20.468926429748535
1674530231.3124352,19.93328332901001
1674530231.3261368,19.41399574279785
1674530231.3399336,18.93150806427002
1674530231.35356,18.326354026794434
1674530231.4365673,1206.550395488739
1674530231.4499297,13.485121726989746
1674530231.4633257,12.438368797302246
1674530231.476871,11.677837371826172
1674530231.4903502,11.03588342666626
1674530231.5733004,1206.4236402511597
1674530231.586432,9.39624309539795
1674530231.5996268,9.751975536346436
1674530231.6828115,1206.4277291297913
1674530231.7657428,1206.3991069793701
1674530231.8486755,1206.3950181007385
1674530231.9316092,1206.4686179161072
1674530232.0145495,1206.570839881897
1674530232.097476,1206.370484828949
1674530232.1107717,11.7637038230896
1674530232.1241379,12.503790855407715
1674530232.2072282,1206.4522624015808
1674530232.2209022,18.73115301132202
1674530232.2346926,20.060038566589355
1674530232.2488809,21.924567222595215
1674530232.2629924,23.449718952178955
1674530232.2767031,19.98234987258911
1674530232.2909684,22.578787803649902
1674530232.3738766,1206.6035509109497
1674530232.3875954,19.397640228271484
1674530232.4013407,19.36492919921875
1674530232.4152725,19.324040412902832
1674530232.429276,19.965994358062744
1674530232.4430554,20.190882682800293
1674530232.5262322,1206.4072847366333
1674530232.539966,19.72883939743042
1674530232.5536282,17.418622970581055
1674530232.5675344,17.18146800994873
1674530232.5812566,15.717649459838867
1674530232.5946753,15.047073364257812
1674530232.6778944,1206.4522624015808
1674530232.6910799,10.344862937927246
1674530232.7042615,9.453487396240234
1674530232.717571,9.453487396240234
1674530232.7308552,9.841930866241455
1674530232.8138278,1206.5667510032654
1674530232.8274322,17.56582260131836
1674530232.910432,1206.480884552002
1674530232.923631,10.692417621612549
1674530232.9369903,12.229835987091064
1674530233.0199661,1206.4359068870544
1674530233.0336688,19.176840782165527
1674530233.0474093,18.506264686584473
1674530233.1305916,1206.4727067947388
1674530233.1443505,20.16226053237915
1674530233.1582055,20.52617073059082
1674530233.1722872,21.71194553375244
1674530233.1862314,22.82003164291382
1674530233.2001276,23.48651885986328
1674530233.2834797,1206.5544843673706
1674530233.2974782,24.148917198181152
1674530233.3115358,24.046695232391357
1674530233.3257163,25.093448162078857
1674530233.3397152,23.907673358917236
1674530233.3536098,23.5764741897583
1674530233.367681,22.243499755859375
1674530233.3815463,22.202610969543457
1674530233.3954475,21.196746826171875
1674530233.40925,21.36847972869873
1674530233.42317,22.00634479522705
1674530233.5063848,1206.6158175468445
1674530233.5197685,13.799965381622314
1674530233.5332575,14.049386978149414
1674530233.6165113,1206.6035509109497
1674530233.6296084,8.881044387817383
1674530233.6427336,8.427178859710693
1674530233.6559584,8.402645587921143
1674530233.6691477,8.07962417602539
1674530233.6821978,7.335448265075684
1674530233.6952639,7.036960124969482
1674530233.708359,9.314465522766113
1674530233.7218535,14.932584762573242
1674530233.7351851,10.005486011505127
1674530233.8181145,1206.5790176391602
1674530233.9010496,1206.5340399742126
1674530233.914183,9.51073169708252
1674530233.927765,16.33915901184082
1674530233.941389,12.070369720458984
1674530233.954943,12.794101238250732
1674530233.9682753,12.671434879302979
1674530233.981663,12.025392055511475
1674530233.9950173,13.56281042098999
1674530234.0087242,15.754449367523193
1674530234.0918887,1206.4277291297913
1674530234.1055734,18.86199712753296
1674530234.1194217,20.284926891326904
1674530234.202629,1206.4154624938965
1674530234.2855737,1206.419551372528
1674530234.3685155,1206.4972400665283
1674530234.4514437,1206.4277291297913
1674530234.5343654,1206.2968850135803
1674530234.6172884,1206.2723517417908
1674530234.70022,1206.4154624938965
1674530234.7135398,12.589657306671143
1674530234.727033,14.286541938781738
1674530234.8105292,1206.4236402511597
1674530234.823603,8.25953483581543
1674530234.8366923,7.494914531707764
1674530234.8498983,7.298648357391357
1674530234.8630195,6.6934943199157715
1674530234.8759906,6.084251403808594
1674530234.8889942,5.900251865386963
1674530234.9018557,5.274653434753418
1674530234.9148219,5.115187168121338
1674530234.9278514,4.935276508331299
1674530234.940685,4.808521270751953
1674530234.953692,5.479097366333008
1674530234.9665563,4.931187629699707
1674530234.9793785,5.225586891174316
1674530234.9925926,5.990207195281982
1674530235.0055478,5.896162986755371
1674530235.0186646,5.777585506439209
1674530235.031762,6.987893581390381
1674530235.044997,10.667884349822998
1674530235.0581381,8.104157447814941
1674530235.071052,6.231451034545898
1674530235.0840783,6.566739082336426
1674530235.0972047,6.116962432861328
1674530235.1101048,5.548608303070068
1674530235.1235657,6.186473369598389
1674530235.1365085,4.047989845275879
1674530235.1500182,4.698121547698975
1674530235.1635435,5.822563171386719
"time, data"
1674530416.374184,1206.8693280220032
1674530416.9476888,1206.7262172698975
1674530417.4621181,186.55508756637573
1674530417.9761448,185.68824529647827
1674530418.4901836,184.35118198394775
1674530419.0042248,184.829580783844
1674530419.5183644,186.14619970321655
1674530420.0219295,5.695807933807373
1674530420.5956035,1206.8897724151611
1674530421.099142,6.0310959815979
1674530421.602747,8.34949016571045
1674530422.106173,3.381502628326416
1674530422.6096675,3.4714579582214355
1674530423.113258,2.894926071166992
1674530423.616725,3.7535905838012695
1674530424.120272,3.7781238555908203
1674530424.623993,5.34825325012207
1674530425.1275756,5.896162986755371
1674530425.6311922,5.716252326965332
1674530426.1348464,6.591272354125977
1674530426.6385057,7.036960124969482
1674530427.1421962,6.971538066864014
1674530427.6459713,8.619356155395508
1674530428.1497507,8.57846736907959
1674530428.6536655,10.810995101928711
1674530429.157582,10.839617252349854
1674530429.6615353,11.55925989151001
1674530430.1654654,11.461126804351807
1674530430.669513,13.40334415435791
1674530431.1737473,16.286003589630127
1674530431.6880362,188.5218381881714
1674530432.20222,184.7764253616333
1674530432.7170315,186.45695447921753
1674530433.2316399,184.7805142402649
1674530433.7462478,184.69873666763306
1674530434.260819,184.30211544036865
1674530434.7754135,184.7805142402649
1674530435.2895854,184.76415872573853
1674530435.8038917,186.49784326553345
1674530436.3179724,185.20984649658203
1674530436.8319635,184.75598096847534
1674530437.3460338,185.29162406921387
1674530437.8603246,186.93126440048218
1674530438.3745804,187.73268461227417
1674530438.8886602,185.20984649658203
1674530439.4028912,185.6759786605835
1674530439.908782,44.71597671508789
1674530440.422826,184.8214030265808
1674530440.9286363,43.85731220245361
1674530441.4342153,39.50674533843994
1674530441.9397101,38.2310152053833
1674530442.4453392,40.03421068191528
1674530442.9595368,186.99668645858765
1674530443.4638302,17.01791286468506
1674530444.0374887,1206.8652391433716
1674530444.5415535,15.321028232574463
1674530445.0454657,13.570988178253174
1674530445.5495267,13.501477241516113
1674530446.0539227,14.818096160888672
1674530446.5580354,13.906276226043701
1674530447.0621262,14.01667594909668
1674530447.5662317,14.327430725097656
1674530448.070436,15.006184577941895
1674530448.5746946,17.030179500579834
1674530449.078893,15.521383285522461
1674530449.5827413,9.985041618347168
1674530450.1563723,1206.9265723228455
1674530450.6603167,12.53650188446045
1674530451.164418,16.06520414352417
1674530451.6686704,16.56813621520996
1674530452.1729257,16.56813621520996
1674530452.6773508,19.84332799911499
1674530453.1813831,13.297033309936523
1674530453.7550092,1206.6567063331604
1674530454.259275,17.504489421844482
1674530454.7634478,14.965295791625977
1674530455.2677479,17.308223247528076
1674530455.771858,14.740407466888428
1674530456.2760415,15.550005435943604
1674530456.7802083,15.124762058258057
1674530457.284365,14.899873733520508
1674530457.7884989,15.333294868469238
1674530458.292786,17.0465350151062
1674530458.7971103,17.901110649108887
1674530459.3014545,17.90519952774048
1674530459.80587,19.73292827606201
1674530460.3794818,1206.730306148529
1674530460.9530804,1206.7221283912659
1674530461.5265677,1206.5054178237915
1674530462.1000154,1206.6771507263184
1674530462.6033592,3.1688809394836426
1674530463.1070976,7.392692565917969
1674530463.680762,1206.930661201477
1674530464.184321,6.198740005493164
1674530464.6879458,6.317317485809326
1674530465.1921191,16.302359104156494
1674530465.7658358,1206.7343950271606
1674530466.270801,30.090057849884033
1674530466.784744,184.7273588180542
1674530467.2989285,186.46104335784912
1674530467.8130138,184.8214030265808
1674530468.3270988,185.119891166687
1674530468.8411338,184.3716263771057
1674530469.3551733,184.38798189163208
1674530469.8693712,186.98033094406128
1674530470.3763497,63.38988542556763
1674530470.8904986,186.51010990142822
1674530471.4046507,186.923086643219
1674530471.91168,65.45068025588989
1674530472.4187238,65.1481032371521
1674530472.932658,184.31029319763184
1674530473.439694,65.05405902862549
1674530474.013315,1206.7466616630554
1674530474.527301,184.80913639068604
1674530475.0412588,185.20166873931885
1674530475.5556104,187.40557432174683
1674530476.0699065,184.85820293426514
1674530476.5839252,184.3307375907898
1674530477.0979774,185.6718897819519
1674530477.6120298,184.90318059921265
1674530478.1261764,186.14619970321655
1674530478.6403832,187.36059665679932
1674530479.1544473,184.8214030265808
1674530479.6685016,184.81322526931763
1674530480.2421367,1206.7671060562134
1674530480.815589,1206.8161725997925
1674530481.3891149,1206.8325281143188
1674530481.9626944,1206.750750541687
1674530482.5362208,1206.7343950271606
1674530483.1096685,1206.7589282989502
1674530483.6148782,35.397422313690186
1674530484.1203012,31.533432006835938
1674530484.6939325,1206.6730618476868
1674530485.2673707,1206.7057728767395
1674530485.8409162,1206.7384839057922
1674530486.3458607,29.460370540618896
1674530486.9193704,1206.799817085266
1674530487.4244282,32.24080801010132
1674530487.9294267,31.365787982940674
1674530488.5030515,1207.2291493415833
1674530489.0082781,33.67191553115845
1674530489.5819302,1206.9061279296875
1674530490.087003,31.979119777679443
1674530490.592116,31.414854526519775
1674530491.0971127,33.4470272064209
1674530491.6023967,33.56560468673706
1674530492.1075993,32.163119316101074
1674530492.612903,33.15262794494629
1674530493.1179543,30.118680000305176
1674530493.6916294,1206.7548394203186
1674530494.26516,1206.5585732460022
1674530494.7701638,31.3535213470459
1674530495.3437924,1206.791639328003
1674530495.8487484,30.572545528411865
1674530496.3536153,29.779303073883057
1674530496.927217,1206.8693280220032
1674530497.500736,1206.7262172698975
1674530498.0248172,359.0730547904968
1674530498.5573242,502.06522941589355
1674530499.0940957,575.7304668426514
1674530499.609401,204.33762073516846
1674530500.1262393,233.1233263015747
1674530500.6998377,1206.7466616630554
1674530501.273387,1206.771194934845
1674530501.8468866,1206.750750541687
1674530502.420408,1206.7425727844238
1674530502.9939418,1206.6526174545288
1674530503.567487,1206.7589282989502
1674530504.1409886,1206.8447947502136
1674530504.6461394,33.49609375
1674530505.219645,1206.9388389587402
1674530505.7931926,1206.6158175468445
1674530506.366698,1206.8039059638977
1674530506.9401205,1206.7957282066345
1674530507.4477413,77.50060558319092
1674530508.0214026,1206.9429278373718
1674530508.5264125,31.38214349746704
1674530509.0315926,34.23209190368652
1674530509.5368657,34.62871313095093
1674530510.1104732,1206.7875504493713
1674530510.6840336,1206.730306148529
1674530511.2575428,1206.812083721161
1674530511.8310893,1206.7875504493713
1674530512.4045937,1206.812083721161
1674530512.9781804,1206.7262172698975
1674530513.5517032,1206.6444396972656
1674530514.125326,1206.8284392356873
1674530514.6302176,30.682945251464844
1674530515.2037647,1206.820261478424
1674530515.7773154,1206.7671060562134
1674530516.3508177,1206.799817085266
